ID;Block;Duration;Aligned;MasksN;Target;Event;Time;SimCount
s01;1;30;0;1;0;0;16894;0
s01;1;30;0;1;0;1;17744;0
s01;1;30;0;1;1;0;19160;0
s01;1;30;0;1;0;0;19277;0
s01;1;30;0;1;0;1;20693;0
s01;1;30;0;1;1;1;20726;0
s01;1;30;0;1;0;0;21642;0
s01;1;30;0;1;0;1;22159;0
s01;1;30;0;1;2;0;22793;0
s01;1;30;0;1;1;0;23093;0
s01;1;30;0;1;0;0;23225;0
s01;1;30;0;1;2;1;23626;0
s01;1;30;0;1;1;1;23642;0
s01;1;30;0;1;0;1;23659;0
s01;1;30;0;1;0;0;24941;0
s01;1;30;0;1;1;0;24991;0
s01;1;30;0;1;0;1;25009;0
s01;1;30;0;1;1;1;26307;0
s01;2;30;1;3;1;0;11217;0
s01;2;30;1;3;1;1;11350;0
s01;2;30;1;3;2;0;15732;0
s01;2;30;1;3;0;0;15798;0
s01;2;30;1;3;1;0;15865;0
s01;2;30;1;3;1;1;16499;0
s01;2;30;1;3;0;1;16532;0
s01;2;30;1;3;2;1;16548;0
s01;4;30;1;1;0;0;7591;0
s01;4;30;1;1;2;0;7608;0
s01;4;30;1;1;1;0;7724;0
s01;4;30;1;1;2;1;7908;0
s01;4;30;1;1;1;1;7924;0
s01;4;30;1;1;0;1;7974;0
s01;4;30;1;1;0;0;10074;0
s01;4;30;1;1;0;1;10123;0
s01;4;30;1;1;1;0;10140;0
s01;4;30;1;1;0;0;10690;0
s01;4;30;1;1;1;1;10806;0
s01;4;30;1;1;0;1;10956;0
s01;4;30;1;1;0;0;13005;0
s01;4;30;1;1;1;0;13073;0
s01;4;30;1;1;0;1;13705;0
s01;4;30;1;1;1;1;13739;0
s01;4;30;1;1;0;0;15871;0
s01;4;30;1;1;1;0;15988;0
s01;4;30;1;1;0;1;17370;0
s01;4;30;1;1;1;1;17387;0
s01;4;30;1;1;2;0;20686;0
s01;4;30;1;1;1;0;20886;0
s01;4;30;1;1;2;1;21136;0
s01;4;30;1;1;0;0;21202;0
s01;4;30;1;1;1;1;21620;0
s01;4;30;1;1;0;1;21736;0
s01;4;30;1;1;0;0;25051;0
s01;4;30;1;1;1;0;25834;0
s01;4;30;1;1;2;0;26000;0
s01;4;30;1;1;1;1;26417;0
s01;4;30;1;1;2;1;26434;0
s01;4;30;1;1;0;1;26450;0
s01;5;120;0;1;1;0;6990;1
s01;5;120;0;1;1;1;8173;1
s01;5;120;0;1;0;0;11207;2
s01;5;120;0;1;1;0;11255;2
s01;5;120;0;1;1;1;13254;1
s01;5;120;0;1;0;1;13321;1
s01;5;120;0;1;1;0;22252;1
s01;5;120;0;1;1;1;22984;1
s01;5;120;0;1;1;0;26099;1
s01;5;120;0;1;1;1;26266;1
s01;5;120;0;1;1;0;41295;2
s01;5;120;0;1;0;0;41361;2
s01;5;120;0;1;1;1;41411;1
s01;5;120;0;1;0;1;41843;1
s01;5;120;0;1;1;0;56572;1
s01;5;120;0;1;1;1;56738;1
s01;5;120;0;1;2;0;62319;3
s01;5;120;0;1;0;0;62486;3
s01;5;120;0;1;1;0;62652;3
s01;5;120;0;1;1;1;62937;3
s01;5;120;0;1;0;1;62953;3
s01;5;120;0;1;2;1;62986;3
s01;5;120;0;1;0;0;71049;2
s01;5;120;0;1;1;0;71516;2
s01;5;120;0;1;1;1;72116;1
s01;5;120;0;1;0;1;72182;1
s01;5;120;0;1;0;0;73015;1
s01;5;120;0;1;0;1;73998;1
s01;5;120;0;1;0;0;77763;1
s01;5;120;0;1;0;1;77997;1
s01;5;120;0;1;1;0;78929;1
s01;5;120;0;1;1;1;79129;1
s01;5;120;0;1;0;0;79146;1
s01;5;120;0;1;0;1;81045;1
s01;5;120;0;1;0;0;90359;1
s01;5;120;0;1;0;1;90925;1
s01;5;120;0;1;0;0;100554;1
s01;5;120;0;1;0;1;100888;1
s01;5;120;0;1;0;0;104503;2
s01;5;120;0;1;1;0;104870;2
s01;5;120;0;1;1;1;105870;2
s01;5;120;0;1;0;1;105903;2
s01;5;120;0;1;1;0;109718;3
s01;5;120;0;1;0;0;109785;3
s01;5;120;0;1;2;0;109801;3
s01;5;120;0;1;1;1;110401;1
s01;5;120;0;1;2;1;110467;2
s01;5;120;0;1;0;1;110484;2
s01;6;120;1;3;0;0;38279;1
s01;6;120;1;3;0;1;38479;1
s01;6;120;1;3;1;0;62171;1
s01;6;120;1;3;1;1;62403;1
s01;6;120;1;3;0;0;67685;1
s01;6;120;1;3;0;1;68118;1
s01;7;120;0;3;2;0;11568;1
s01;7;120;0;3;2;1;13101;1
s01;7;120;0;3;0;0;21848;1
s01;7;120;0;3;2;0;22631;1
s01;7;120;0;3;2;1;23548;1
s01;7;120;0;3;0;1;23614;1
s01;7;120;0;3;0;0;38908;1
s01;7;120;0;3;0;1;39441;1
s01;7;120;0;3;1;0;42124;1
s01;7;120;0;3;1;1;42757;1
s01;7;120;0;3;2;0;45905;3
s01;7;120;0;3;1;0;45989;3
s01;7;120;0;3;0;0;46006;3
s01;7;120;0;3;1;1;47305;3
s01;7;120;0;3;2;1;47321;3
s01;7;120;0;3;0;1;47338;3
s01;7;120;0;3;1;0;51170;1
s01;7;120;0;3;1;1;51254;1
s01;7;120;0;3;1;0;51287;1
s01;7;120;0;3;1;1;51320;1
s01;7;120;0;3;1;0;51353;1
s01;7;120;0;3;0;0;52686;1
s01;7;120;0;3;2;0;53220;1
s01;7;120;0;3;2;1;53919;1
s01;7;120;0;3;1;1;54336;1
s01;7;120;0;3;0;1;54636;1
s01;7;120;0;3;1;0;57701;2
s01;7;120;0;3;2;0;57768;2
s01;7;120;0;3;2;1;58817;2
s01;7;120;0;3;1;1;58834;2
s01;7;120;0;3;1;0;60450;2
s01;7;120;0;3;2;0;60667;2
s01;7;120;0;3;2;1;61116;1
s01;7;120;0;3;1;1;62083;1
s01;7;120;0;3;0;0;67348;2
s01;7;120;0;3;1;0;67631;2
s01;7;120;0;3;1;1;68030;1
s01;7;120;0;3;0;1;68147;1
s01;7;120;0;3;1;0;73561;1
s01;7;120;0;3;1;1;73878;1
s01;7;120;0;3;0;0;78393;2
s01;7;120;0;3;1;0;78793;2
s01;7;120;0;3;1;1;79376;1
s01;7;120;0;3;0;1;79460;1
s01;7;120;0;3;0;0;79859;1
s01;7;120;0;3;0;1;81209;1
s01;7;120;0;3;1;0;81742;1
s01;7;120;0;3;1;1;84274;1
s01;7;120;0;3;0;0;91288;1
s01;7;120;0;3;0;1;91805;1
s01;7;120;0;3;1;0;96486;1
s01;7;120;0;3;1;1;96920;1
s01;8;120;1;1;2;0;13180;3
s01;8;120;1;1;0;0;13246;3
s01;8;120;1;1;1;0;13430;3
s01;8;120;1;1;1;1;13879;3
s01;8;120;1;1;2;1;13895;3
s01;8;120;1;1;0;1;13930;3
s01;8;120;1;1;1;0;14846;3
s01;8;120;1;1;2;0;14862;3
s01;8;120;1;1;0;0;14962;3
