ID;Block;Duration;Aligned;Target;Event;Time
s01;1;120;0;2;0;4261
s01;1;120;0;1;0;4311
s01;1;120;0;0;0;4327
s01;1;120;0;1;1;5727
s01;1;120;0;0;1;5743
s01;1;120;0;2;1;5760
s01;1;120;0;1;0;9441
s01;1;120;0;1;1;12024
s01;1;120;0;2;0;15839
s01;1;120;0;1;0;15873
s01;1;120;0;0;0;15973
s01;1;120;0;1;1;18488
s01;1;120;0;0;1;18505
s01;1;120;0;2;1;18521
s01;1;120;0;1;0;21670
s01;1;120;0;2;0;21771
s01;1;120;0;0;0;21820
s01;1;120;0;1;1;23153
s01;1;120;0;2;1;23170
s01;1;120;0;0;1;23187
s01;1;120;0;2;0;26219
s01;1;120;0;2;1;27835
s01;1;120;0;0;0;31767
s01;1;120;0;1;0;32116
s01;1;120;0;2;0;32149
s01;1;120;0;1;1;34049
s01;1;120;0;0;1;34082
s01;1;120;0;2;1;34116
s01;1;120;0;2;0;36682
s01;1;120;0;1;0;36732
s01;1;120;0;0;0;36781
s01;1;120;0;0;1;36814
s01;1;120;0;1;1;37131
s01;1;120;0;0;0;37147
s01;1;120;0;0;1;38230
s01;1;120;0;2;1;38247
s01;1;120;0;2;0;42130
s01;1;120;0;0;0;42230
s01;1;120;0;0;1;44945
s01;1;120;0;2;1;44962
s01;1;120;0;2;0;48977
s01;1;120;0;0;0;49177
s01;1;120;0;0;1;49210
s01;1;120;0;1;0;49627
s01;1;120;0;1;1;51659
s01;1;120;0;2;1;51692
s01;1;120;0;2;0;55707
s01;1;120;0;1;0;55741
s01;1;120;0;0;0;55758
s01;1;120;0;1;1;58106
s01;1;120;0;0;1;58140
s01;1;120;0;2;1;58156
s01;1;120;0;2;0;61589
s01;1;120;0;2;1;63788
s01;1;120;0;0;0;67470
s01;1;120;0;2;0;67553
s01;1;120;0;1;0;67619
s01;1;120;0;1;1;69369
s01;1;120;0;2;1;69402
s01;1;120;0;0;1;69436
s01;1;120;0;1;0;71302
s01;1;120;0;1;1;73768
s01;1;120;0;2;0;76267
s01;1;120;0;1;0;76350
s01;1;120;0;0;0;76383
s01;1;120;0;1;1;79148
s01;1;120;0;2;1;79198
s01;1;120;0;0;1;79215
s01;1;120;0;0;0;81748
s01;1;120;0;1;0;81781
s01;1;120;0;1;1;83264
s01;1;120;0;0;1;83297
s01;1;120;0;2;0;86296
s01;1;120;0;1;0;86362
s01;1;120;0;0;0;86396
s01;1;120;0;1;1;88861
s01;1;120;0;2;1;88878
s01;1;120;0;0;1;88911
s01;1;120;0;1;0;92277
s01;1;120;0;0;0;92460
s01;1;120;0;1;1;94210
s01;1;120;0;0;1;94260
