ID;Block;ConditionLabel;Time;Target;Event;Key;EventLabel
s11;3;2 different masks;78.18;1;0;K;Pressed
s11;3;2 different masks;79.53;0;1;J;Released
s11;3;2 different masks;79.53;1;1;K;Released
s11;3;2 different masks;84.87;0;0;J;Pressed
s11;3;2 different masks;85.12;1;0;K;Pressed
s11;3;2 different masks;85.9;0;1;J;Released
s11;3;2 different masks;85.92;1;1;K;Released
s11;3;2 different masks;88.57;0;0;J;Pressed
s11;3;2 different masks;88.82;1;0;K;Pressed
s11;3;2 different masks;89.81;0;1;J;Released
s11;3;2 different masks;89.81;1;1;K;Released
s11;3;2 different masks;91.59;0;0;J;Pressed
s11;3;2 different masks;92.67;0;1;J;Released
s11;3;2 different masks;92.68;1;0;K;Pressed
s11;3;2 different masks;92.96;1;1;K;Released
s11;3;2 different masks;94.25;1;0;K;Pressed
s11;3;2 different masks;94.56;1;1;K;Released
s11;3;2 different masks;97.07;0;0;J;Pressed
s11;3;2 different masks;97.37;1;0;K;Pressed
s11;3;2 different masks;98.84;1;1;K;Released
s11;3;2 different masks;98.87;0;1;J;Released
s11;3;2 different masks;100.62;0;0;J;Pressed
s11;3;2 different masks;100.89;1;0;K;Pressed
s11;3;2 different masks;101.57;0;1;J;Released
s11;3;2 different masks;101.59;1;1;K;Released
s11;3;2 different masks;102.96;0;0;J;Pressed
s11;3;2 different masks;103.23;0;1;J;Released
s11;3;2 different masks;104.25;0;0;J;Pressed
s11;3;2 different masks;105.78;0;1;J;Released
s11;3;2 different masks;106.51;0;0;J;Pressed
s11;3;2 different masks;106.81;0;1;J;Released
s11;3;2 different masks;107.89;0;0;J;Pressed
s11;3;2 different masks;108.48;1;0;K;Pressed
s11;3;2 different masks;109.28;0;1;J;Released
s11;3;2 different masks;109.29;1;1;K;Released
s11;3;2 different masks;110.79;1;0;K;Pressed
s11;3;2 different masks;111.32;1;1;K;Released
s11;3;2 different masks;112.21;0;0;J;Pressed
s11;3;2 different masks;112.46;1;0;K;Pressed
s11;3;2 different masks;113.67;0;1;J;Released
s11;3;2 different masks;113.68;1;1;K;Released
s11;3;2 different masks;115.57;0;0;J;Pressed
s11;3;2 different masks;116.36;1;0;K;Pressed
s11;3;2 different masks;117.73;0;1;J;Released
s11;3;2 different masks;117.86;1;1;K;Released
s11;3;2 different masks;118.59;1;0;K;Pressed
s11;3;2 different masks;118.9;1;1;K;Released
s11;3;2 different masks;119.98;0;0;J;Pressed
s11;3;2 different masks;120.65;1;0;K;Pressed
s11;3;2 different masks;121.54;0;1;J;Released
s11;3;2 different masks;121.56;1;1;K;Released
s11;3;2 different masks;123.61;-1;200;E;Block end
s11;4;2 different masks_connected dots;0.17;-1;100;E;Block start
s11;4;2 different masks_connected dots;7.42;0;0;J;Pressed
s11;4;2 different masks_connected dots;7.77;0;1;J;Released
s11;4;2 different masks_connected dots;9.19;0;0;J;Pressed
s11;4;2 different masks_connected dots;9.27;1;0;K;Pressed
s11;4;2 different masks_connected dots;9.5;0;1;J;Released
s11;4;2 different masks_connected dots;9.53;1;1;K;Released
s11;4;2 different masks_connected dots;14.74;0;0;J;Pressed
s11;4;2 different masks_connected dots;15.05;1;0;K;Pressed
s11;4;2 different masks_connected dots;15.95;0;1;J;Released
s11;4;2 different masks_connected dots;15.97;1;1;K;Released
s11;4;2 different masks_connected dots;17.5;0;0;J;Pressed
s11;4;2 different masks_connected dots;17.72;1;0;K;Pressed
s11;4;2 different masks_connected dots;17.92;1;1;K;Released
s11;4;2 different masks_connected dots;17.95;0;1;J;Released
s11;4;2 different masks_connected dots;21.14;0;0;J;Pressed
s11;4;2 different masks_connected dots;21.17;1;0;K;Pressed
s11;4;2 different masks_connected dots;22.55;0;1;J;Released
s11;4;2 different masks_connected dots;22.55;1;1;K;Released
s11;4;2 different masks_connected dots;28.88;0;0;J;Pressed
s11;4;2 different masks_connected dots;28.99;1;0;K;Pressed
s11;4;2 different masks_connected dots;29.88;0;1;J;Released
s11;4;2 different masks_connected dots;29.89;1;1;K;Released
s11;4;2 different masks_connected dots;33.8;0;0;J;Pressed
s11;4;2 different masks_connected dots;33.88;1;0;K;Pressed
s11;4;2 different masks_connected dots;34.92;0;1;J;Released
s11;4;2 different masks_connected dots;34.94;1;1;K;Released
s11;4;2 different masks_connected dots;39.55;0;0;J;Pressed
s11;4;2 different masks_connected dots;39.66;1;0;K;Pressed
s11;4;2 different masks_connected dots;40.45;0;1;J;Released
s11;4;2 different masks_connected dots;40.45;1;1;K;Released
s11;4;2 different masks_connected dots;43.85;1;0;K;Pressed
s11;4;2 different masks_connected dots;43.92;0;0;J;Pressed
s11;4;2 different masks_connected dots;44.6;0;1;J;Released
s11;4;2 different masks_connected dots;44.61;1;1;K;Released
s11;4;2 different masks_connected dots;47.49;0;0;J;Pressed
s11;4;2 different masks_connected dots;48.27;0;1;J;Released
s11;4;2 different masks_connected dots;49.49;1;0;K;Pressed
s11;4;2 different masks_connected dots;49.99;1;1;K;Released
s11;4;2 different masks_connected dots;50.92;1;0;K;Pressed
s11;4;2 different masks_connected dots;51.64;1;1;K;Released
s11;4;2 different masks_connected dots;54.56;1;0;K;Pressed
s11;4;2 different masks_connected dots;56.13;1;1;K;Released
s11;4;2 different masks_connected dots;57.27;0;0;J;Pressed
s11;4;2 different masks_connected dots;58.02;0;1;J;Released
s11;4;2 different masks_connected dots;58.08;1;0;K;Pressed
s11;4;2 different masks_connected dots;58.61;1;1;K;Released
s11;4;2 different masks_connected dots;62.13;0;0;J;Pressed
s11;4;2 different masks_connected dots;62.39;1;0;K;Pressed
s11;4;2 different masks_connected dots;63.72;0;1;J;Released
s11;4;2 different masks_connected dots;63.72;1;1;K;Released
s11;4;2 different masks_connected dots;64.99;1;0;K;Pressed
s11;4;2 different masks_connected dots;65.05;0;0;J;Pressed
s11;4;2 different masks_connected dots;65.38;0;1;J;Released
s11;4;2 different masks_connected dots;65.41;1;1;K;Released
s11;4;2 different masks_connected dots;67.38;1;0;K;Pressed
s11;4;2 different masks_connected dots;67.6;0;0;J;Pressed
s11;4;2 different masks_connected dots;68.45;0;1;J;Released
s11;4;2 different masks_connected dots;68.49;1;1;K;Released
s11;4;2 different masks_connected dots;70.95;1;0;K;Pressed
s11;4;2 different masks_connected dots;70.99;0;0;J;Pressed
s11;4;2 different masks_connected dots;71.99;0;1;J;Released
s11;4;2 different masks_connected dots;72.0;1;1;K;Released
s11;4;2 different masks_connected dots;74.72;1;0;K;Pressed
s11;4;2 different masks_connected dots;74.91;0;0;J;Pressed
s11;4;2 different masks_connected dots;75.88;0;1;J;Released
s11;4;2 different masks_connected dots;75.95;1;1;K;Released
s11;4;2 different masks_connected dots;84.25;1;0;K;Pressed
s11;4;2 different masks_connected dots;85.25;1;1;K;Released
s11;4;2 different masks_connected dots;89.64;0;0;J;Pressed
s11;4;2 different masks_connected dots;89.64;1;0;K;Pressed
s11;4;2 different masks_connected dots;90.35;0;1;J;Released
s11;4;2 different masks_connected dots;90.39;1;1;K;Released
s11;4;2 different masks_connected dots;93.49;1;0;K;Pressed
s11;4;2 different masks_connected dots;93.86;1;1;K;Released
s11;4;2 different masks_connected dots;100.41;1;0;K;Pressed
s11;4;2 different masks_connected dots;100.49;0;0;J;Pressed
s11;4;2 different masks_connected dots;101.08;0;1;J;Released
s11;4;2 different masks_connected dots;101.14;1;1;K;Released
s11;4;2 different masks_connected dots;103.0;0;0;J;Pressed
s11;4;2 different masks_connected dots;103.85;1;0;K;Pressed
s11;4;2 different masks_connected dots;104.72;0;1;J;Released
s11;4;2 different masks_connected dots;104.74;1;1;K;Released
s11;4;2 different masks_connected dots;111.2;0;0;J;Pressed
s11;4;2 different masks_connected dots;111.5;0;1;J;Released
s11;4;2 different masks_connected dots;111.91;1;0;K;Pressed
s11;4;2 different masks_connected dots;112.19;0;0;J;Pressed
s11;4;2 different masks_connected dots;112.69;0;1;J;Released
s11;4;2 different masks_connected dots;112.74;1;1;K;Released
s11;4;2 different masks_connected dots;123.45;-1;200;E;Block end
s11;5;1 mask;0.17;-1;100;E;Block start
s11;5;1 mask;4.67;0;0;J;Pressed
s11;5;1 mask;4.68;1;0;K;Pressed
s11;5;1 mask;6.06;0;1;J;Released
s11;5;1 mask;6.07;1;1;K;Released
s11;5;1 mask;10.76;0;0;J;Pressed
s11;5;1 mask;11.0;0;1;J;Released
s11;5;1 mask;12.59;0;0;J;Pressed
s11;5;1 mask;12.59;1;0;K;Pressed
s11;5;1 mask;13.48;0;1;J;Released
s11;5;1 mask;13.48;1;1;K;Released
s11;5;1 mask;15.42;1;0;K;Pressed
s11;5;1 mask;15.75;0;0;J;Pressed
s11;5;1 mask;16.35;0;1;J;Released
s11;5;1 mask;16.39;1;1;K;Released
s11;5;1 mask;17.46;0;0;J;Pressed
s11;5;1 mask;17.46;1;0;K;Pressed
s11;5;1 mask;18.0;0;1;J;Released
s11;5;1 mask;18.01;1;1;K;Released
s11;5;1 mask;19.12;0;0;J;Pressed
s11;5;1 mask;19.12;1;0;K;Pressed
s11;5;1 mask;19.85;0;1;J;Released
s11;5;1 mask;19.85;1;1;K;Released
s11;5;1 mask;22.42;0;0;J;Pressed
s11;5;1 mask;22.43;1;0;K;Pressed
s11;5;1 mask;23.14;0;1;J;Released
s11;5;1 mask;23.15;1;1;K;Released
s11;5;1 mask;24.95;0;0;J;Pressed
s11;5;1 mask;24.95;1;0;K;Pressed
s11;5;1 mask;25.9;0;1;J;Released
s11;5;1 mask;25.92;1;1;K;Released
s11;5;1 mask;27.51;0;0;J;Pressed
s11;5;1 mask;28.39;0;1;J;Released
s11;5;1 mask;28.39;1;0;K;Pressed
s11;5;1 mask;28.56;1;1;K;Released
s11;5;1 mask;30.06;1;0;K;Pressed
s11;5;1 mask;31.57;0;0;J;Pressed
s11;5;1 mask;31.89;0;1;J;Released
s11;5;1 mask;31.9;1;1;K;Released
s11;5;1 mask;33.09;1;0;K;Pressed
s11;5;1 mask;33.1;0;0;J;Pressed
s11;5;1 mask;35.04;1;1;K;Released
s11;5;1 mask;35.1;0;1;J;Released
s11;5;1 mask;37.23;1;0;K;Pressed
s11;5;1 mask;37.29;0;0;J;Pressed
s11;5;1 mask;37.95;0;1;J;Released
s11;5;1 mask;37.95;1;1;K;Released
s11;5;1 mask;38.98;0;0;J;Pressed
s11;5;1 mask;39.9;1;0;K;Pressed
s11;5;1 mask;41.1;0;1;J;Released
s11;5;1 mask;41.39;1;1;K;Released
s11;5;1 mask;43.21;1;0;K;Pressed
s11;5;1 mask;43.56;1;1;K;Released
s11;5;1 mask;45.81;0;0;J;Pressed
s11;5;1 mask;46.0;1;0;K;Pressed
s11;5;1 mask;46.51;0;1;J;Released
s11;5;1 mask;46.51;1;1;K;Released
s11;5;1 mask;47.39;1;0;K;Pressed
s11;5;1 mask;47.48;0;0;J;Pressed
s11;5;1 mask;47.95;0;1;J;Released
s11;5;1 mask;47.95;1;1;K;Released
s11;5;1 mask;52.42;0;0;J;Pressed
s11;5;1 mask;52.42;1;0;K;Pressed
s11;5;1 mask;53.1;0;1;J;Released
s11;5;1 mask;53.1;1;1;K;Released
s11;5;1 mask;53.93;0;0;J;Pressed
s11;5;1 mask;54.15;0;1;J;Released
s11;5;1 mask;56.0;1;0;K;Pressed
s11;5;1 mask;56.25;0;0;J;Pressed
s11;5;1 mask;56.98;0;1;J;Released
s11;5;1 mask;57.04;1;1;K;Released
s11;5;1 mask;58.2;0;0;J;Pressed
s11;5;1 mask;58.2;1;0;K;Pressed
s11;5;1 mask;58.89;0;1;J;Released
s11;5;1 mask;58.92;1;1;K;Released
s11;5;1 mask;60.73;0;0;J;Pressed
s11;5;1 mask;60.89;1;0;K;Pressed
s11;5;1 mask;61.15;0;1;J;Released
s11;5;1 mask;61.2;1;1;K;Released
s11;5;1 mask;61.23;1;0;K;Pressed
s11;5;1 mask;61.26;1;1;K;Released
s11;5;1 mask;63.03;1;0;K;Pressed
s11;5;1 mask;63.04;0;0;J;Pressed
s11;5;1 mask;63.87;0;1;J;Released
s11;5;1 mask;63.92;1;1;K;Released
s11;5;1 mask;65.25;1;0;K;Pressed
s11;5;1 mask;66.79;1;1;K;Released
s11;5;1 mask;66.84;0;0;J;Pressed
s11;5;1 mask;67.6;0;1;J;Released
s11;5;1 mask;69.1;1;0;K;Pressed
