ID;Block;Duration;Aligned;MasksN;Target;Event;Time
s01;7;120;0;3;1;0;78793
s01;7;120;0;3;1;1;79376
s01;7;120;0;3;0;1;79460
s01;7;120;0;3;0;0;79859
s01;7;120;0;3;0;1;81209
s01;7;120;0;3;1;0;81742
s01;7;120;0;3;1;1;84274
s01;7;120;0;3;0;0;91288
s01;7;120;0;3;0;1;91805
s01;7;120;0;3;1;0;96486
s01;7;120;0;3;1;1;96920
s01;8;120;1;1;2;0;13180
s01;8;120;1;1;0;0;13246
s01;8;120;1;1;1;0;13430
s01;8;120;1;1;1;1;13879
s01;8;120;1;1;2;1;13895
s01;8;120;1;1;0;1;13930
s01;8;120;1;1;1;0;14846
s01;8;120;1;1;2;0;14862
s01;8;120;1;1;0;0;14962
s01;8;120;1;1;1;1;15129
s01;8;120;1;1;2;1;15145
s01;8;120;1;1;0;1;15179
s01;8;120;1;1;1;0;20643
s01;8;120;1;1;1;1;21127
s01;8;120;1;1;0;0;21609
s01;8;120;1;1;0;1;22226
s01;8;120;1;1;0;0;22359
s01;8;120;1;1;0;1;22609
s01;8;120;1;1;1;0;25791
s01;8;120;1;1;0;0;25808
s01;8;120;1;1;1;1;26091
s01;8;120;1;1;0;1;26125
s01;8;120;1;1;2;0;26607
s01;8;120;1;1;2;1;27058
s01;8;120;1;1;0;0;27791
s01;8;120;1;1;0;1;27974
s01;8;120;1;1;0;0;33155
s01;8;120;1;1;0;1;33472
s01;8;120;1;1;2;0;36937
s01;8;120;1;1;1;0;36971
s01;8;120;1;1;0;0;37070
s01;8;120;1;1;2;1;37370
s01;8;120;1;1;1;1;37387
s01;8;120;1;1;0;1;37403
s01;8;120;1;1;0;0;45884
s01;8;120;1;1;0;1;46134
s01;8;120;1;1;1;0;77872
s01;8;120;1;1;1;1;78371
s01;8;120;1;1;1;0;80371
s01;8;120;1;1;1;1;80839
s01;8;120;1;1;1;0;83286
s01;8;120;1;1;1;1;83836
s01;8;120;1;1;0;0;84919
s01;8;120;1;1;0;1;85169
s01;8;120;1;1;1;0;89001
s01;8;120;1;1;0;0;89184
s01;8;120;1;1;1;1;89400
s01;8;120;1;1;0;1;89434
s01;8;120;1;1;0;0;99597
s01;8;120;1;1;0;1;99797
s02;1;30;0;1;0;0;9490
s02;1;30;0;1;0;1;9656
s02;1;30;0;1;1;0;10323
s02;1;30;0;1;1;1;10573
s02;1;30;0;1;0;0;12388
s02;1;30;0;1;1;0;12755
s02;1;30;0;1;1;1;13172
s02;1;30;0;1;0;1;13188
s02;1;30;0;1;0;0;15371
s02;1;30;0;1;0;1;15838
s02;1;30;0;1;0;0;18019
s02;1;30;0;1;1;0;18053
s02;1;30;0;1;1;1;18736
s02;1;30;0;1;0;1;18769
s02;1;30;0;1;0;0;21901
s02;1;30;0;1;0;1;22551
s02;1;30;0;1;0;0;24117
s02;1;30;0;1;0;1;24883
s02;1;30;0;1;0;0;27283
s02;1;30;0;1;1;0;27316
s02;1;30;0;1;2;0;27333
s02;1;30;0;1;1;1;27733
s02;1;30;0;1;2;1;27766
s02;1;30;0;1;0;1;27783
s02;1;30;0;1;0;0;29882
s02;1;30;0;1;0;1;30000
s02;2;30;1;3;0;0;8189
s02;2;30;1;3;1;0;8321
s02;2;30;1;3;0;1;8955
s02;2;30;1;3;1;1;8972
s02;2;30;1;3;1;0;9189
s02;2;30;1;3;1;1;9638
s02;2;30;1;3;0;0;10621
s02;2;30;1;3;0;1;10921
s02;2;30;1;3;1;0;11188
s02;2;30;1;3;0;0;11587
s02;2;30;1;3;1;1;11870
s02;2;30;1;3;0;1;11887
s02;2;30;1;3;1;0;12804
s02;2;30;1;3;1;1;13403
s02;2;30;1;3;1;0;14503
s02;2;30;1;3;1;1;14736
s02;2;30;1;3;1;0;17519
s02;2;30;1;3;1;1;17818
s02;2;30;1;3;0;0;20051
s02;2;30;1;3;1;0;20068
s02;2;30;1;3;1;1;21017
s02;2;30;1;3;0;1;21033
s02;2;30;1;3;0;0;22600
s02;2;30;1;3;1;0;22616
s02;2;30;1;3;1;1;23116
s02;2;30;1;3;0;1;23133
s02;2;30;1;3;1;0;24516
s02;2;30;1;3;1;1;24865
s02;2;30;1;3;0;0;25782
s02;2;30;1;3;1;0;26382
s02;2;30;1;3;1;1;26698
s02;2;30;1;3;0;1;26715
s02;2;30;1;3;0;0;28530
s02;2;30;1;3;1;0;28614
s02;2;30;1;3;0;1;28848
s02;2;30;1;3;1;1;28864
s02;3;30;0;3;1;0;10191
s02;3;30;0;3;1;1;10924
s02;3;30;0;3;0;0;17404
s02;3;30;0;3;0;1;17855
s02;3;30;0;3;1;0;19221
s02;3;30;0;3;1;1;19870
s02;3;30;0;3;1;0;20036
s02;3;30;0;3;1;1;20203
s02;3;30;0;3;1;0;20420
s02;3;30;0;3;1;1;20486
s02;3;30;0;3;1;0;22652
s02;3;30;0;3;1;1;22769
s02;3;30;0;3;1;0;25185
s02;3;30;0;3;1;1;25468
s02;3;30;0;3;0;0;28434
s02;3;30;0;3;0;1;28600
s02;3;30;0;3;1;0;29050
s02;3;30;0;3;1;1;29200
s02;4;30;1;1;1;0;6790
s02;4;30;1;1;0;0;6806
s02;4;30;1;1;1;1;7090
s02;4;30;1;1;0;1;7106
s02;4;30;1;1;1;0;9489
s02;4;30;1;1;1;1;9722
s02;4;30;1;1;0;0;12188
s02;4;30;1;1;1;0;12221
s02;4;30;1;1;1;1;12387
s02;4;30;1;1;0;1;12421
s02;4;30;1;1;1;0;13470
s02;4;30;1;1;1;1;13604
s02;4;30;1;1;2;0;14936
s02;4;30;1;1;2;1;15137
s02;4;30;1;1;0;0;17036
s02;4;30;1;1;0;1;17203
s02;4;30;1;1;1;0;17636
s02;4;30;1;1;1;1;17769
s02;4;30;1;1;2;0;19518
s02;4;30;1;1;2;1;19719
s02;4;30;1;1;1;0;21068
s02;4;30;1;1;1;1;21168
s02;4;30;1;1;1;0;26083
s02;4;30;1;1;0;0;26099
s02;4;30;1;1;2;0;26116
s02;4;30;1;1;1;1;26182
s02;4;30;1;1;2;1;26549
s02;4;30;1;1;0;1;26600
s02;4;30;1;1;1;0;28481
s02;4;30;1;1;0;0;28498
s02;4;30;1;1;2;0;28515
s02;4;30;1;1;1;1;28681
s02;4;30;1;1;0;1;28715
s02;4;30;1;1;2;1;28731
s02;5;120;0;1;1;0;7364
s02;5;120;0;1;1;1;7897
s02;5;120;0;1;1;0;9947
s02;5;120;0;1;0;0;9963
s02;5;120;0;1;1;1;10246
s02;5;120;0;1;0;1;10263
s02;5;120;0;1;1;0;12479
s02;5;120;0;1;0;0;12562
s02;5;120;0;1;1;1;13045
s02;5;120;0;1;0;1;13062
s02;5;120;0;1;1;0;15195
s02;5;120;0;1;0;0;15861
s02;5;120;0;1;1;1;15877
s02;5;120;0;1;0;1;16344
s02;5;120;0;1;1;0;18443
s02;5;120;0;1;0;0;18760
s02;5;120;0;1;1;1;18860
