Event;ID;MaxRT;MeanRT;MinRT;StdRT
0;s01;0.39000000000000057;0.017903225806451473;0.0;0.04595359148357431
1;s01;0.0800000000000125;0.014435483870966954;0.0;0.014663011361423551
0;s02;0.2900000000000009;0.04333333333333347;0.0;0.06401546530315805
1;s02;0.09000000000000341;0.020000000000000247;0.0;0.02132007163556124
0;s03;0.11000000000001364;0.01043478260869543;0.0;0.023121279652711917
1;s03;0.06999999999999318;0.018260869565215457;0.0;0.017358665024064943
0;s04;0.129999999999999;0.014690265486725735;0.0;0.023160494150816984
1;s04;0.13999999999998636;0.020442477876105963;0.0;0.02191655052193312
0;s05;0.16000000000000014;0.00626168224299067;0.0;0.0173756390045063
1;s05;0.14000000000000057;0.015140186915889017;0.0;0.016764698445953862
0;s06;0.10999999999998522;0.020162601626016574;0.0;0.02323383220833826
1;s06;0.160000000000025;0.018861788617885438;0.0;0.021115372276954848
0;s08;0.05000000000000071;0.012682926829268368;0.0;0.01593039589542219
1;s08;0.060000000000002274;0.020487804878049774;0.0;0.015919189143492267
0;s09;0.05000000000001137;0.007231638418079706;0.0;0.012609632858193748
1;s09;0.0800000000000125;0.0194915254237289;0.0;0.018450458522946713
0;s10;0.04999999999999716;0.008799999999998746;0.0;0.01365869686317087
1;s10;0.020000000000010232;0.011200000000000258;0.0;0.007652450587885212
0;s11;0.10999999999998522;0.010756302521008074;0.0;0.021268972306326503
1;s11;0.11000000000001364;0.016890756302520696;0.0;0.015811276645986243
0;s12;0.07000000000000028;0.008441558441557823;0.0;0.014420848459730429
1;s12;0.060000000000002274;0.01337662337662308;0.0;0.011909876901932993
0;s13;0.11999999999999922;0.03590909090909087;0.0;0.037858479404354536
1;s13;0.240000000000002;0.02954545454545525;0.0;0.04819253740110645
0;s14;0.020000000000010232;0.0037499999999996425;0.0;0.006332785063987835
1;s14;0.04999999999999716;0.012500000000000419;0.0;0.012665570127975163
0;s15;0.04000000000000625;0.009444444444444465;0.0;0.012680791345015482
1;s15;0.04999999999999716;0.016666666666666805;0.0;0.0149071198499972
